Front,Back,Chapter,Tags
"15,000 lbs","GVW threshold — vehicles at or above this weight may use their own tow company","Vehicle Collisions",key_terms 217_vehicle_collisions
"30 minutes","Wait time for D.A.R.P. tow before cancelling and requesting next in rotation","Vehicle Collisions",key_terms 217_vehicle_collisions
"20 days","Review Board must be convened within this period","Vehicle Collisions",key_terms 217_vehicle_collisions
"72 hours","A-QOL Officer enters Parts A and B of CR-PDV into intranet within 72 hours of collision","Vehicle Collisions",key_terms 217_vehicle_collisions
"90 days","C.O. has 90 days (absent exigencies) to have member attend collision retraining","Vehicle Collisions",key_terms 217_vehicle_collisions
"1/10 mile","Spacing of reference markers on limited access highways","Vehicle Collisions",key_terms 217_vehicle_collisions
"2 hours","If unconscious DWI suspect under arrest for this long without chemical test, warrant must be obtained","Vehicle Collisions",key_terms 217_vehicle_collisions
"1 hour","Escalation trigger if ADA has not contacted arresting officer for chemical test warrant","Vehicle Collisions",key_terms 217_vehicle_collisions
"30 minutes","Follow-up interval for contacting ADA supervisor after initial 1-hour escalation","Vehicle Collisions",key_terms 217_vehicle_collisions
"15 days","Hearing must occur within this period after arraignment for chemical test refusal","Vehicle Collisions",key_terms 217_vehicle_collisions
"0700–2300","Legal Bureau availability, Monday–Friday","Vehicle Collisions",key_terms 217_vehicle_collisions
"0700–1830","Business hours window for faxing Dept vehicle reports and confirming receipt","Vehicle Collisions",key_terms 217_vehicle_collisions
"6 members","Review Board size when operator is from same command","Vehicle Collisions",key_terms 217_vehicle_collisions
"7 members","Review Board size when operator is from an outside command","Vehicle Collisions",key_terms 217_vehicle_collisions
"VTL Section 602","Authorizes summons for leaving scene (property damage only) without observing the offense","Vehicle Collisions",key_terms 217_vehicle_collisions
"Admin Code 20-518(b)(2)","Violation for unsolicited tow truck response to collision scene","Vehicle Collisions",key_terms 217_vehicle_collisions
"Admin Code 20-515(b)","Violation for soliciting towing at collision scene","Vehicle Collisions",key_terms 217_vehicle_collisions
"Admin Code 20-524(c)","Exempts governmental agencies from D.A.R.P. requirements","Vehicle Collisions",key_terms 217_vehicle_collisions
"Code","Meaning","Vehicle Collisions",key_terms 217_vehicle_collisions
"10-99T4","Vehicle Collision — No tow required","Vehicle Collisions",key_terms 217_vehicle_collisions
"10-99T5","Vehicle Collision — D.A.R.P. tow service","Vehicle Collisions",key_terms 217_vehicle_collisions
"10-99T6","Vehicle Collision — Other tow service","Vehicle Collisions",key_terms 217_vehicle_collisions
"10-99T7","Vehicle Collision — D.A.R.P. and other tow service","Vehicle Collisions",key_terms 217_vehicle_collisions
"10-99T8","Vehicle Collision — Highway-authorized tow service","Vehicle Collisions",key_terms 217_vehicle_collisions
"10-99T9","Vehicle Collision — D.A.R.P. requested, waited 30 min, second request, resumed patrol","Vehicle Collisions",key_terms 217_vehicle_collisions
"10-90Z","Gone on Arrival — vehicle not at scene, no information on removal","Vehicle Collisions",key_terms 217_vehicle_collisions
"Condition","Agency","Vehicle Collisions",key_terms 217_vehicle_collisions
"Traffic signs, stanchions, signal lights, lampposts","Department of Transportation","Vehicle Collisions",key_terms 217_vehicle_collisions
"Parkway, highway, wall, curb, fence, guide rail","DOT Bureau of Highways, Legal Dept","Vehicle Collisions",key_terms 217_vehicle_collisions
"Parks Department property; trees on public property","Department of Parks","Vehicle Collisions",key_terms 217_vehicle_collisions
"Fire alarm box/post","FDNY Actions and Claims Unit","Vehicle Collisions",key_terms 217_vehicle_collisions
"City hydrants","DEP and FDNY Actions and Claims","Vehicle Collisions",key_terms 217_vehicle_collisions
"School bus collision","DOE Office of Pupil Transportation","Vehicle Collisions",key_terms 217_vehicle_collisions
"Transit facility debris (elevated MTA line)","NYC Transit Law Department","Vehicle Collisions",key_terms 217_vehicle_collisions
"Ferry, bridge, tunnel, dock, airport, seaplane base","Agency concerned","Vehicle Collisions",key_terms 217_vehicle_collisions
"Property","Forward To","Vehicle Collisions",key_terms 217_vehicle_collisions
"Booths, buildings","Deputy Commissioner — Management & Budget, Facilities Management Division","Vehicle Collisions",key_terms 217_vehicle_collisions
"Horses","Mounted Unit","Vehicle Collisions",key_terms 217_vehicle_collisions
"Aircraft, launches","Office of the Chief of Special Operations","Vehicle Collisions",key_terms 217_vehicle_collisions
"Item","Detail","Vehicle Collisions",key_terms 217_vehicle_collisions
"Reports prepared","3: PAR (MV104AN), MV104-L, CR-PDV","Vehicle Collisions",key_terms 217_vehicle_collisions
"Serial numbers","3: PAR serial, Boro #, FSD #","Vehicle Collisions",key_terms 217_vehicle_collisions
"PAR copies","Quadruplicate: 1st to Operator, 3 to Desk Officer","Vehicle Collisions",key_terms 217_vehicle_collisions
"Photos","2 sets showing damage to ALL vehicles; in Jewelry Security Envelope","Vehicle Collisions",key_terms 217_vehicle_collisions
"Fax deadline","Within 24 hours to Personnel Safety Desk (tour of occurrence if possible; confirm 0700-1830)","Vehicle Collisions",key_terms 217_vehicle_collisions
"Boro # location","Telephone Record","Vehicle Collisions",key_terms 217_vehicle_collisions
"FSD # location","On CR-PDV AND top of PAR","Vehicle Collisions",key_terms 217_vehicle_collisions
"CR-PDV Parts","A = Investigating Supervisor; B = Review Board recommendations; C = C.O. approval/disapproval","Vehicle Collisions",key_terms 217_vehicle_collisions
"Buff copy of CR-PDV","To Patrol Borough — information only, NO photos (""Buff to Boro, No Photo"")","Vehicle Collisions",key_terms 217_vehicle_collisions
"White copy of CR-PDV","To Personnel Safety Desk with photos and copy of PAR","Vehicle Collisions",key_terms 217_vehicle_collisions
"Pink copy of CR-PDV","Operator's Personal Folder (C.O. must review first)","Vehicle Collisions",key_terms 217_vehicle_collisions
"Crossover PAR copy","Faxed to Corp Counsel AND Highway District by A-QOL-O","Vehicle Collisions",key_terms 217_vehicle_collisions
"Not forwarded to XO","MV104 and/or MV104L (only PAR, CR-PDV, voucher copy, photos go to XO)","Vehicle Collisions",key_terms 217_vehicle_collisions
"VTL Section","Violation","Vehicle Collisions",key_terms 217_vehicle_collisions
"511","Suspended/Revoked License","Vehicle Collisions",key_terms 217_vehicle_collisions
"600","Leaving the scene","Vehicle Collisions",key_terms 217_vehicle_collisions
"1100-1212","Traffic signs, signals, and markings","Vehicle Collisions",key_terms 217_vehicle_collisions
"1120-1131","Driving on right side of roadway, overtaking and passing","Vehicle Collisions",key_terms 217_vehicle_collisions
"1140-1146a","Right of way","Vehicle Collisions",key_terms 217_vehicle_collisions
"1160-1166","Turning/starting and signals on stopping/turning","Vehicle Collisions",key_terms 217_vehicle_collisions
"1170-1176","Special stops required","Vehicle Collisions",key_terms 217_vehicle_collisions
"1180-1182b","Speed restrictions","Vehicle Collisions",key_terms 217_vehicle_collisions
"1212","Reckless driving","Vehicle Collisions",key_terms 217_vehicle_collisions
"Form","Number","Vehicle Collisions",key_terms 217_vehicle_collisions
"MOTOR VEHICLE COLLISION AND MECHANISM REPORT","PD301-151","Vehicle Collisions",key_terms 217_vehicle_collisions
"WITNESS STATEMENT — VEHICLE COLLISION","PD301-061","Vehicle Collisions",key_terms 217_vehicle_collisions
"PROPERTY CLERK INVOICE","PD521-141","Vehicle Collisions",key_terms 217_vehicle_collisions
"PROPERTY CLERK INVOICE WORKSHEET","PD521-141A","Vehicle Collisions",key_terms 217_vehicle_collisions
"Police Accident Report","MV104AN","Vehicle Collisions",key_terms 217_vehicle_collisions
"Early Notification of Fatal Accident","MV-104EN","Vehicle Collisions",key_terms 217_vehicle_collisions
"Police Report for Fatal Motor Vehicle Accidents","MV-104D","Vehicle Collisions",key_terms 217_vehicle_collisions
"ACCIDENT REPORT — CITY INVOLVED","PD301-155","Vehicle Collisions",key_terms 217_vehicle_collisions
"COMPLAINT REPORT WORKSHEET","PD313-152A","Vehicle Collisions",key_terms 217_vehicle_collisions
"COLLISION INFORMATION EXCHANGE","PD301-157","Vehicle Collisions",key_terms 217_vehicle_collisions
"UNUSUAL OCCURRENCE REPORT","PD370-152","Vehicle Collisions",key_terms 217_vehicle_collisions
"REPORT OF VIOLATION","PD672-151","Vehicle Collisions",key_terms 217_vehicle_collisions
"FIELD REPORT","313-1511","Vehicle Collisions",key_terms 217_vehicle_collisions
"CHEMICAL TEST WARRANT APPLICATION","PD374-041","Vehicle Collisions",key_terms 217_vehicle_collisions
"Report of Refusal to Submit to Chemical Test","NYSDMV AA-134","Vehicle Collisions",key_terms 217_vehicle_collisions
"COLLISION REPORT — PD VEHICLE","CR-PDV","Vehicle Collisions",key_terms 217_vehicle_collisions
"Report of Motor Vehicle Accident (civilian form)","MV104","Vehicle Collisions",key_terms 217_vehicle_collisions
"MOS Driver License Report","MV104L","Vehicle Collisions",key_terms 217_vehicle_collisions
"Truck and Bus Supplemental PAR","MV104S","Vehicle Collisions",key_terms 217_vehicle_collisions
"UF50 (Official Letterhead)","UF50","Vehicle Collisions",key_terms 217_vehicle_collisions
"Category","Definition","Property: General",key_terms 218_property_general
"Arrest Evidence","Property seized for court presentation","Property: General",key_terms 218_property_general
"DNA Arrest Evidence","Property seized for court presentation containing potentially probative DNA evidence","Property: General",key_terms 218_property_general
"Investigatory","Property seized for investigation with COMPLAINT REPORT and no ARREST WORKSHEET","Property: General",key_terms 218_property_general
"DNA Investigatory","Investigatory property containing potentially probative DNA evidence","Property: General",key_terms 218_property_general
"Forfeiture","Property used to facilitate a crime or representing proceeds/substituted proceeds","Property: General",key_terms 218_property_general
"Decedent's Property","Personal property of a deceased person","Property: General",key_terms 218_property_general
"Found Property","Non-contraband property found by a member or civilian","Property: General",key_terms 218_property_general
"Peddler's Property","Items removed from vendors (stands, carts)","Property: General",key_terms 218_property_general
"Amnesty","Firearms surrendered via Cash for Guns Program","Property: General",key_terms 218_property_general
"Safekeeping","Property to be returned to owner","Property: General",key_terms 218_property_general
"Determine True Owner","Property where true owner cannot be determined and no immediate arrest warranted","Property: General",key_terms 218_property_general
"Photo Release","Recovered stolen vehicles where arrest made and vehicle not used in other crime","Property: General",key_terms 218_property_general
"Rotation Tow","Non-evidence stolen or apparently abandoned vehicles/motorcycles recovered in NYC","Property: General",key_terms 218_property_general
"Firearm","Includes rifles, shotguns, pistols, revolvers, starter's pistols, zip guns, air/CO2 guns, homemade/modified guns, simulated/toy firearms, ghost guns, 3D-printed firearms, stabilizing brace firearms","Property: General",key_terms 218_property_general
"Cartridge","Live ammunition — bullet + shell casing as one unit","Property: General",key_terms 218_property_general
"Fired Bullet","Part of cartridge fired through barrel","Property: General",key_terms 218_property_general
"Shell Casing","Metal casing remaining in/ejecting from firearm after bullet leaves","Property: General",key_terms 218_property_general
"Apparently Abandoned Vehicle","Unoccupied vehicle abandoned per VTL 1224 OR observed under circumstances indicating it may be stolen but no alarm transmitted","Property: General",key_terms 218_property_general
"Double Tow","Additional tow truck for unusual recovery (embankment, overturned, wedged) — NOT authorized solely because vehicle has no wheels","Property: General",key_terms 218_property_general
"Regulated Waste","Blood/infectious materials in liquid/semi-liquid state; contaminated sharps; pathological wastes","Property: General",key_terms 218_property_general
"Contraband","Property whose mere possession is prohibited by law (not property merely suspected stolen)","Property: General",key_terms 218_property_general
"Numismatic/Sentimental Value","All gold coins, all U.S. silver coins dated 1964 or prior, extremely old bills","Property: General",key_terms 218_property_general
"Negotiable Instrument","Cash equivalents: money orders, traveler's checks, bank checks","Property: General",key_terms 218_property_general
"Co-Occupant","Person residing on a permanent basis in same premises with deceased","Property: General",key_terms 218_property_general
"General Vendor","Person selling goods other than food at retail in a public area","Property: General",key_terms 218_property_general
"Food Vendor","Person selling food at retail in any public place","Property: General",key_terms 218_property_general
"Distributor","Person/organization engaged in sale/distribution of goods for resale by a general vendor","Property: General",key_terms 218_property_general
"Handgun","Any pistol or revolver listed on a Handgun License","Property: General",key_terms 218_property_general
"Timeframe","Rule","Property: General",key_terms 218_property_general
"48 hours","Maximum time vehicle may be safeguarded at command (non-evidence)","Property: General",key_terms 218_property_general
"48 hours","Maximum time for delivery of seized vehicle to Property Clerk Auto Pound","Property: General",key_terms 218_property_general
"30 days","Tow operator MUST deliver vehicle to Auto Pound","Property: General",key_terms 218_property_general
"15 days","After 15 days at Auto Pound, vehicle disposed of according to law","Property: General",key_terms 218_property_general
"15 days","Retention deadline for investigatory motor vehicles/boats","Property: General",key_terms 218_property_general
"1 year","Retention deadline for investigatory property (non-vehicle)","Property: General",key_terms 218_property_general
"6 years","Filed INVOICES maintained (each July, previous year boxed to Property Clerk warehouse)","Property: General",key_terms 218_property_general
"10 days","Desk officer must authorize release or denial of investigatory evidence","Property: General",key_terms 218_property_general
"5 days","Claimant may request CO/designee review after denial of investigatory evidence","Property: General",key_terms 218_property_general
"30 days","Handgun license surrender investigation must be completed","Property: General",key_terms 218_property_general
"60 days","Investigation if found property not returned by interstate company/airline/bank","Property: General",key_terms 218_property_general
"24 hours","Report prepared after disposal of perishable vendor food","Property: General",key_terms 218_property_general
"120 hours","Sexual Offense Evidence Collection Kit used within this period (or medical discretion)","Property: General",key_terms 218_property_general
"0100 hours","Daily deadline for firearms requiring lab analysis to be delivered to patrol borough office","Property: General",key_terms 218_property_general
"1 minute","Time for vendor to begin moving in exigent circumstances","Property: General",key_terms 218_property_general
"2 hours","Minimum time vendor must stay away from location in exigent circumstances","Property: General",key_terms 218_property_general
"3 business days","Property Clerk issues check for federal/state forfeiture upon written request","Property: General",key_terms 218_property_general
"6 hours","FORMS outage threshold — under 6 hours: prepare WORKSHEET and wait","Property: General",key_terms 218_property_general
"Fee Type","Amount","Property: General",key_terms 218_property_general
"Vendor removal — by Department vehicle","$65.00","Property: General",key_terms 218_property_general
"Vendor removal — not by Department vehicle","$20.00","Property: General",key_terms 218_property_general
"Vendor goods seized with vehicle/cart/stand","$10.00","Property: General",key_terms 218_property_general
"Vendor goods only seized","$20.00","Property: General",key_terms 218_property_general
"Vendor storage (per day or part)","$5.00","Property: General",key_terms 218_property_general
"Vehicle/boat towing (Department tow)","$25.00","Property: General",key_terms 218_property_general
"Vehicle/boat storage (per day or part)","$5.00","Property: General",key_terms 218_property_general
"Form","Number","Property: General",key_terms 218_property_general
"PROPERTY CLERK INVOICE","PD521-141","Property: General",key_terms 218_property_general
"PROPERTY CLERK INVOICE WORKSHEET","PD521-141A","Property: General",key_terms 218_property_general
"PROPERTY TRANSFER REPORT","PD521-1412","Property: General",key_terms 218_property_general
"PROPERTY TRANSFER REPORT ACCEPTANCE DOCUMENT","PD521-172","Property: General",key_terms 218_property_general
"REQUEST FOR LABORATORY EXAMINATION REPORT","PD521-168","Property: General",key_terms 218_property_general
"ON-LINE BOOKING SYSTEM ARREST WORKSHEET","PD244-159","Property: General",key_terms 218_property_general
"ACKNOWLEDGMENT OF FOUND PROPERTY","PD542-012","Property: General",key_terms 218_property_general
"REPORT OF UNCLAIMED PROPERTY","PD542-122","Property: General",key_terms 218_property_general
"WARNING NOTICE — VEHICLE IN POLICE CUSTODY","PD571-1211","Property: General",key_terms 218_property_general
"ROTATION TOW — OWNER NOTIFICATION","PD571-1210","Property: General",key_terms 218_property_general
"VEHICLE SEIZURE FORM","PD571-1218","Property: General",key_terms 218_property_general
"COMMAND VEHICLE SEIZURE INDEX","PD571-091","Property: General",key_terms 218_property_general
"FEE RECEIPT","PD122-017","Property: General",key_terms 218_property_general
"SEAL FOR DOOR OF D.O.A. PREMISES","PD517-120","Property: General",key_terms 218_property_general
"IDENTIFICATION TAG","PD317-091","Property: General",key_terms 218_property_general
"NOTICE TO PERSONS FROM WHOM PROPERTY HAS BEEN REMOVED","PD521-124","Property: General",key_terms 218_property_general
"HANDGUN SURRENDER NOTICE","PD641-123","Property: General",key_terms 218_property_general
"HANDGUN SURRENDER NOTICE RESPONSE","PD641-1234A","Property: General",key_terms 218_property_general
"PEDDLER FORFEITURE QUESTIONNAIRE","PD260-155","Property: General",key_terms 218_property_general
"CONSENT TO SUSPECT EVIDENCE COLLECTION KIT","PD321-031","Property: General",key_terms 218_property_general
"CERTIFICATION OF PROPERTY CLERK DIVISION SEALS","PD521-061","Property: General",key_terms 218_property_general
"PROPERTY CLERK DIVISION SEAL DISTRIBUTION CARD","PD521-1411","Property: General",key_terms 218_property_general
"REQUEST FOR RETENTION","PD521-169","Property: General",key_terms 218_property_general
"REQUEST FOR INVOICE CHANGE OF CATEGORY","PD521-167","Property: General",key_terms 218_property_general
"OFFICIAL LETTERHEAD","PD158-151","Property: General",key_terms 218_property_general
"Acronym","Full Term","Property: General",key_terms 218_property_general
"FAS","Firearms Analysis Section","Property: General",key_terms 218_property_general
"JFTF","Joint Firearms Task Force","Property: General",key_terms 218_property_general
"SECK","Sexual Offense Evidence Collection Kit","Property: General",key_terms 218_property_general
"PTR","Property Transfer Report","Property: General",key_terms 218_property_general
"BATF","Bureau of Alcohol, Tobacco, Firearms and Explosives","Property: General",key_terms 218_property_general
"DCWP","Dept. of Consumer/Worker Protection","Property: General",key_terms 218_property_general
"DSNY","Dept. of Sanitation New York","Property: General",key_terms 218_property_general
"EPCS","Evidence Property Control Specialist","Property: General",key_terms 218_property_general
"Letter","Situation","Property: General",key_terms 218_property_general
"C","Crime","Property: General",key_terms 218_property_general
"H","Highway","Property: General",key_terms 218_property_general
"A","Arrest made","Property: General",key_terms 218_property_general
"S","Safeguard","Property: General",key_terms 218_property_general
"E","Evidence","Property: General",key_terms 218_property_general
"D","Determine True Owner","Property: General",key_terms 218_property_general
"F","Forfeiture","Property: General",key_terms 218_property_general
"I","Investigation","Property: General",key_terms 218_property_general
"T","Truck (large)","Property: General",key_terms 218_property_general
"D","Derelict","Property: General",key_terms 218_property_general
"O","Owner on scene AND recovered prior to police","Property: General",key_terms 218_property_general
"M","Moped (limited use motorcycle)","Property: General",key_terms 218_property_general
"Time","Condition","Property: General",key_terms 218_property_general
"More than 6 hours","No plates","Property: General",key_terms 218_property_general
"More than 24 hours","Illegally parked","Property: General",key_terms 218_property_general
"More than 48 hours","Legally parked initially → becomes abandoned","Property: General",key_terms 218_property_general
"More than 96 hours","On private property without owner permission","Property: General",key_terms 218_property_general
"Bag","Contents","Property: General",key_terms 218_property_general
"1 — GUNS","Firearms and firearm-related evidence","Property: General",key_terms 218_property_general
"2 — DRUGS","Controlled substances / marijuana (PCI only — no Request for Lab Exam, no 61, no OLBS, no zFINEST)","Property: General",key_terms 218_property_general
"3 — DNA","DNA evidence including SECKs","Property: General",key_terms 218_property_general
"4 — CRIMINALISTICS","Trace evidence (hair, fiber, paint, GSR, etc.)","Property: General",key_terms 218_property_general
"Timeframe","Rule","Property: General",key_terms 218_property_general
"0030","Desk Officer must notify Patrol Boro that evidence is going to Lab","Property: General",key_terms 218_property_general
"0100","Lab delivery must occur on 1st platoon prior to this time","Property: General",key_terms 218_property_general
"0100","If boro not called by 0030, Borough Clerical Officer calls command","Property: General",key_terms 218_property_general
"2 weeks","Call BATF Regional Crime Gun Center for routine trace (after receipt by FAS)","Property: General",key_terms 218_property_general
"Day 8–30","Ro-Tow operator may deliver vehicle to Property Clerk Auto Pound on weekdays","Property: General",key_terms 218_property_general
"Day 30","Ro-Tow operator MUST deliver vehicle to Auto Pound","Property: General",key_terms 218_property_general
"After 15 days at Auto Pound","Unclaimed vehicles disposed of according to law","Property: General",key_terms 218_property_general
"Unit","When to Contact","Property: General",key_terms 218_property_general
"Auto Crime Unit (0800–2300)","Questions about vehicle immobilization","Property: General",key_terms 218_property_general
"Stolen Property Inquiry Unit","Cancel/transmit alarms; ONLY unit that cancels firearms alarms","Property: General",key_terms 218_property_general
"Inter-City Correspondence Unit","Vehicle stolen outside NYC recovered inside NYC","Property: General",key_terms 218_property_general
"Computer Crimes Squad (Mon–Fri 0600–2000)","Computer evidence seizure","Property: General",key_terms 218_property_general
"Office of Chief of Detectives","Computer evidence (after hours)","Property: General",key_terms 218_property_general
"Asset Forfeiture Unit (24/7)","Currency/instruments $1,000+ for forfeiture","Property: General",key_terms 218_property_general
"Bomb Squad Range — Rodman's Neck (Mon–Fri 0700–1500)","Fireworks delivery (Mon–Fri 7x3)","Property: General",key_terms 218_property_general
"Bomb Squad Office","Fireworks delivery at all other times or if Range personnel unavailable","Property: General",key_terms 218_property_general
"License Division","Handgun license surrender issues","Property: General",key_terms 218_property_general
"Legal Bureau","Suspect evidence consent refusal; civil enforcement questions","Property: General",key_terms 218_property_general
"Internal Affairs Bureau Command Center","Property discrepancies; currency deposit discrepancies","Property: General",key_terms 218_property_general
"Property Clerk Division","Large seizures (2,000+ bills); large vendor property","Property: General",key_terms 218_property_general
"Harbor Unit","Boat removal to storage facility","Property: General",key_terms 218_property_general
"Fleet Services Division, Department Tow","Vehicles unable to be driven","Property: General",key_terms 218_property_general
"Information Technology Bureau Service Desk","FORMS Property outages","Property: General",key_terms 218_property_general
"NYPD OCME Liaison Unit","Unfounded sexual offense cases","Property: General",key_terms 218_property_general
"FIU OCME Liaison Unit","Immediate DNA delivery decisions","Property: General",key_terms 218_property_general
"NYS Tax Office","Lottery property recovery","Property: General",key_terms 218_property_general
"Audits and Accounts Unit","Fee receipts forwarded daily","Property: General",key_terms 218_property_general
"Police Lab Evidence Control Supervisor (24/7)","Unusual property before Lab delivery (large seizures, hypos, etc.)","Property: General",key_terms 218_property_general
"Joint Firearms Task Force (JFTF)","Emergency firearm trace requests","Property: General",key_terms 218_property_general
"BATF Regional Crime Gun Center","Routine firearm trace (2 weeks after receipt by FAS)","Property: General",key_terms 218_property_general
"Dept. of Consumer/Worker Protection (DCWP)","Tow operator violations/overcharges (LD6); tow company theft (61 dup.)","Property: General",key_terms 218_property_general
"Category I Vehicle","Unmarked vehicle not required to be stored at Department facility; permitted to be removed from the City regularly; designated by the Police Commissioner","Department Property",key_terms 219_department_property
"Category II Vehicle","Unmarked vehicle with specific designations (exempt from OPP garage parking ineligibility)","Department Property",key_terms 219_department_property
"General Purpose Vehicle","Standard unmarked vehicle for routine operational use","Department Property",key_terms 219_department_property
"Special Purpose Vehicle","Unmarked vehicle assigned for specific operational needs","Department Property",key_terms 219_department_property
"License Plate Reader (LPR)","Specialized camera/computer that captures license plate numbers, converts to text, compares against ""hot list""; NOT connected to NYSPIN; activates on partial matches","Department Property",key_terms 219_department_property
"Mobile Digital Device","Any smartphone, tablet, or portable computer issued by the Department","Department Property",key_terms 219_department_property
"Vehicle Identification Box (VIB)","In-vehicle transponder for automated fuel dispensing","Department Property",key_terms 219_department_property
"NYPD Restricted Parking Permit (Misc. 23-N)","Cardboard parking credential (~4""×10"") with serial number, command code, license plate number, and expiration date","Department Property",key_terms 219_department_property
"NYCT NYPD OMNY Police Pass","Transit pass for subway/bus access (not express bus); valid ~7 years; assigned to individual member by unique serial number","Department Property",key_terms 219_department_property
"Radiation Detection Pager","Device assigned to commands or individual members for detecting radiological threats; requires specific training","Department Property",key_terms 219_department_property
"Ullage","Remaining capacity in a fuel tank; tanks filled to 90% ullage","Department Property",key_terms 219_department_property
"Regulated Infectious Waste","Biohazard materials picked up by Medical Division messenger","Department Property",key_terms 219_department_property
"OLBS","Online Booking System — one of the systems ICO issues passwords for through Omniform","Department Property",key_terms 219_department_property
"BADS","Booking and Arraignment Desk System — ICO issues passwords through Omniform","Department Property",key_terms 219_department_property
"LAPS","LAPS system — ICO issues passwords through Omniform","Department Property",key_terms 219_department_property
"VIB","Vehicle Identification Box — in-vehicle transponder for automated fuel dispensing","Department Property",key_terms 219_department_property
"CRALO","Command Radio Auto Liaison Officer — holder of yellow fuel card","Department Property",key_terms 219_department_property
"ERS","Employee Resources Section — where member reports for replacement shield/ID after loss","Department Property",key_terms 219_department_property
"SPIU / Stolen Property Inquiry Unit","Unit notified to transmit alarm for lost/stolen Department property with identifying marks","Department Property",key_terms 219_department_property
"ITB","Information Technology Bureau — provides Mobility Tablet tech support 24/7; handles LPR repairs; telecommunications unit handles lost/stolen mobile devices","Department Property",key_terms 219_department_property
"COG","""Change of Gear"" — the Digital Activity Log entry documenting vehicle inspection results (condition, odometer, gas gauge)","Department Property",key_terms 219_department_property
"DAS","Domain Awareness System — ICO audits 5 random members monthly for compliance","Department Property",key_terms 219_department_property
"Focused Audit","An audit of computer activity during a specific time period, requested by ICO or C.O. via 49 to Deputy Commissioner of IT","Department Property",key_terms 219_department_property
"Card","Color","Department Property",key_terms 219_department_property
"Master","Green","Department Property",key_terms 219_department_property
"CRALO","Yellow","Department Property",key_terms 219_department_property
"Non-Fleet","Orange","Department Property",key_terms 219_department_property
"Private","Red","Department Property",key_terms 219_department_property
"Operator","White","Department Property",key_terms 219_department_property
"Timeframe","Rule","Department Property",key_terms 219_department_property
"Each tour","Inspect Department vehicle; account for radiation detection pagers; account for LPR devices","Department Property",key_terms 219_department_property
"Each Sunday","Weekly vehicle inspection after second platoon posted","Department Property",key_terms 219_department_property
"10th of month","Car wash expense reports due to Audits and Accounts","Department Property",key_terms 219_department_property
"Nov 1 – Mar 15","Tire chains available","Department Property",key_terms 219_department_property
">4 inches snow","Threshold for installing tire chains","Department Property",key_terms 219_department_property
"24 hours","LPR hot list must be updated within this period to use device","Department Property",key_terms 219_department_property
"5 business days","Request ITB permission before taking mobile device to foreign country","Department Property",key_terms 219_department_property
"30 days","Notify CO of vehicle change for Restricted Parking Permit; max time to use substitute vehicle","Department Property",key_terms 219_department_property
"7 years","General validity period for NYCT NYPD OMNY Police Pass","Department Property",key_terms 219_department_property
"Monthly","ICO audits DAS usage for 5 random members","Department Property",key_terms 219_department_property
"Quarterly","CO surveys generator/mechanical/electrical rooms","Department Property",key_terms 219_department_property
"50%","Minimum fuel tank level for commands with single tank (heating + generator)","Department Property",key_terms 219_department_property
"90%","Maximum fill level (ullage) for fuel deliveries","Department Property",key_terms 219_department_property
"12 months","Period for counting red light (5+) or school speed (15+) camera violations for permit ineligibility","Department Property",key_terms 219_department_property
"Authorized","Unauthorized","Department Property",key_terms 219_department_property
"Bronx-Whitestone Bridge","NJ Turnpike","Department Property",key_terms 219_department_property
"George Washington Bridge","NY State Thruway","Department Property",key_terms 219_department_property
"Bayonne Bridge","Garden State Parkway","Department Property",key_terms 219_department_property
"Henry Hudson Bridge","New England Thruway","Department Property",key_terms 219_department_property
"Holland/Lincoln Tunnels","Tappan Zee Bridge","Department Property",key_terms 219_department_property
"Queens Midtown Tunnel","(list not all-inclusive)","Department Property",key_terms 219_department_property
"Form","Number","Department Property",key_terms 219_department_property
"VEHICLE INSPECTION REPORT","PD571-153","Department Property",key_terms 219_department_property
"CAR WASH AUTHORIZATION","PD171-051","Department Property",key_terms 219_department_property
"RADIO ASSIGNMENT LOG","—","Department Property",key_terms 219_department_property
"LOST/STOLEN FIREARM/SHIELD/I.D. CARD REPORT","PD520-150","Department Property",key_terms 219_department_property
"SUPERVISOR'S COMPLAINT REPORT/COMMAND DISCIPLINE ELECTION REPORT","PD468-123","Department Property",key_terms 219_department_property
"COMPLAINT REPORT","PD313-152","Department Property",key_terms 219_department_property
"FORCE RECORD","PD406-143","Department Property",key_terms 219_department_property
"PROPERTY TRANSFER RECEIPT","PD521-145","Department Property",key_terms 219_department_property
"RESTRICTED PARKING PERMIT APPLICATION","PD671-041","Department Property",key_terms 219_department_property
"NYPD PHONE STICKER","PD589-090","Department Property",key_terms 219_department_property
"DEPARTMENT MOBILE DIGITAL DEVICE REPAIR/REPLACEMENT/RETURN REQUEST","PD589-163","Department Property",key_terms 219_department_property
"PROPERTY RECEIPT — DISCONTINUANCE OF SERVICE","PD520-013","Department Property",key_terms 219_department_property
"Location of Loss","Who to Notify First","Department Property",key_terms 219_department_property
"Within NYC","Desk Officer, Pct of occurrence","Department Property",key_terms 219_department_property
"Nassau or Suffolk County","Desk Officer 105 Pct","Department Property",key_terms 219_department_property
"Westchester, Putnam, Rockland, or Orange","Desk Officer 50 Pct","Department Property",key_terms 219_department_property
"Outside residence counties","Operations Unit DIRECT","Department Property",key_terms 219_department_property
"Part","Prepared By","Department Property",key_terms 219_department_property
